Year;CSIRO Adjusted Sea Level;Lower Error Bound;Upper Error Bound;NOAA Adjusted Sea Level;
1993;6.291.338.576;6.027.559.049;6.555.118.104;6.297.493.046;
1994;6.499.999.993;6.236.220.466;6.763.779.521;6.310.933.553;
1995;6.618.110.229;6.354.330.702;6.881.889.757;6.452.568.661;
1996;6.787.401.568;6.523.622.041;7.051.181.095;662.763.131;
1997;7.066.929.127;6.803.149.599;7.330.708.654;6.733.920.367;
1998;6.665.354.324;6.393.700.781;6.937.007.867;6.865.806.069;
1999;7.011.811.016;6.736.220.466;7.287.401.567;6.848.689.771;
2000;7.062.992.119;6.791.338.576;7.334.645.662;6.920.582.014;
2001;7.287.401.567;7.019.685.032;7.555.118.103;7.087.460.011;
2002;7.381.889.756;7.110.236.213;7.653.543.299;7.319.697.525;
2003;7.759.842.512;7.484.251.961;8.035.433.063;7.488.352.718;
2004;7.740.157.472;7.464.566.922;8.015.748.023;7.507.932.839;
2005;774.409.448;7.472.440.937;8.015.748.023;7.644.563.144;
2006;7.917.322.827;7.645.669.284;818.897.637;7.697.420.009;
2007;7.996.062.984;7.712.598.417;8.279.527.551;770.214.715;
2008;8.350.393.692;8.078.740.149;8.622.047.235;790.736.541;
2009;8.586.614.164;8.311.023.614;8.862.204.715;804.635.409;
2010;8.901.574.794;8.618.110.227;9.185.039.361;8.122.972.567;
2011;896.456.692;8.661.417.314;9.267.716.526;8.053.065.004;
2012;9.326.771.644;8.992.125.975;9.661.417.313;8.457.057.629;
2013;8.980.314.951;8.622.047.235;9.338.582.668;8.546.648.227;
